iter	Passed	Remaining
573	941	698
574	942	696
575	944	695
576	945	692
577	946	690
578	947	688
579	948	687
580	954	688
581	957	687
582	958	685
583	960	683
584	961	681
585	962	679
586	963	678
587	965	676
588	967	674
589	968	672
590	969	670
591	974	671
592	975	669
593	983	672
594	986	671
595	987	669
596	994	671
597	996	670
598	998	668
599	999	666
600	1000	664
601	1007	666
602	1008	664
603	1010	662
604	1012	660
605	1013	658
606	1014	657
607	1016	655
608	1019	654
609	1025	655
610	1027	654
611	1028	651
612	1029	650
613	1030	647
614	1031	645
615	1032	643
616	1033	641
617	1034	639
618	1035	637
619	1036	635
620	1037	633
621	1038	631
622	1039	629
623	1043	628
624	1044	626
625	1046	625
626	1047	622
627	1048	620
628	1049	618
629	1050	616
630	1051	614
631	1052	612
632	1053	610
633	1054	608
634	1055	606
635	1056	604
636	1056	602
637	1057	600
638	1061	599
639	1062	597
640	1063	595
641	1065	593
642	1065	591
643	1066	589
644	1067	587
645	1068	585
646	1069	583
647	1070	581
648	1071	579
649	1073	577
650	1073	575
651	1074	573
652	1080	574
653	1081	572
654	1082	570
655	1083	567
656	1083	565
657	1084	563
658	1085	561
659	1086	559
660	1087	557
661	1088	555
662	1089	554
663	1090	551
664	1092	550
665	1093	548
666	1094	546
667	1094	544
668	1096	542
669	1099	541
670	1100	539
671	1101	537
672	1101	535
673	1103	533
674	1103	531
675	1105	529
676	1105	527
677	1106	525
678	1107	523
679	1108	521
680	1109	519
681	1110	517
682	1111	515
683	1112	513
684	1113	511
685	1114	509
686	1117	508
687	1118	507
688	1119	505
689	1120	503
690	1121	501
691	1122	499
692	1123	497
693	1124	495
694	1125	493
695	1127	492
696	1128	490
697	1129	488
698	1131	487
699	1132	485
700	1135	484
701	1136	482
702	1137	480
703	1138	478
704	1139	476
705	1140	474
706	1140	472
707	1142	471
708	1142	469
709	1143	467
710	1144	465
711	1145	463
712	1146	461
713	1147	459
714	1149	458
715	1150	456
716	1151	454
717	1154	453
718	1156	451
719	1157	450
720	1158	448
721	1159	446
722	1160	444
723	1161	442
724	1161	440
725	1163	438
726	1163	437
727	1164	435
728	1166	433
729	1166	431
730	1167	429
731	1168	427
732	1169	425
733	1170	424
734	1173	422
735	1174	421
736	1174	419
737	1176	417
738	1177	415
739	1178	413
740	1178	412
741	1179	410
742	1180	408
743	1181	406
744	1182	404
745	1183	402
746	1183	400
747	1185	399
748	1186	397
749	1187	395
750	1187	393
751	1188	392
752	1189	390
753	1191	388
754	1194	387
755	1195	385
756	1196	383
757	1197	382
758	1198	380
759	1199	378
760	1199	376
761	1200	375
762	1201	373
763	1202	371
764	1204	369
765	1205	368
766	1206	366
767	1206	364
768	1209	363
769	1211	361
770	1212	360
771	1213	358
772	1214	356
773	1215	354
774	1216	353
775	1217	351
776	1218	349
777	1219	347
778	1219	346
779	1220	344
780	1221	342
781	1222	340
782	1223	339
783	1224	337
784	1225	335
785	1226	333
786	1227	332
787	1228	330
788	1229	328
789	1231	327
790	1232	325
791	1232	323
792	1233	322
793	1234	320
794	1235	318
795	1236	316
796	1237	315
797	1238	313
798	1239	311
799	1241	310
800	1241	308
801	1242	306
802	1244	305
803	1245	303
804	1246	301
805	1248	300
806	1249	298
807	1250	297
808	1251	295
809	1253	293
810	1253	292
811	1255	290
812	1256	288
813	1257	287
814	1258	285
815	1259	283
816	1260	282
817	1260	280
818	1263	279
819	1264	277
820	1265	275
821	1266	274
822	1267	272
823	1268	270
824	1269	269
825	1270	267
826	1271	265
827	1272	264
828	1273	262
829	1274	260
830	1275	259
831	1276	257
832	1277	256
833	1278	254
834	1279	252
835	1282	251
836	1283	250
837	1285	248
838	1286	246
839	1287	245
840	1289	243
841	1290	242
842	1291	240
843	1293	239
844	1294	237
845	1295	235
846	1296	234
847	1297	232
848	1301	231
849	1302	229
850	1303	228
851	1304	226
852	1305	224
853	1306	223
854	1307	221
855	1309	220
856	1310	218
857	1311	217
858	1312	215
859	1314	213
860	1315	212
861	1316	210
862	1319	209
863	1321	207
864	1322	206
865	1323	204
866	1324	203
867	1325	201
868	1326	199
869	1327	198
870	1329	196
871	1330	195
872	1331	193
873	1333	192
874	1334	190
875	1337	189
876	1339	187
877	1341	186
878	1342	184
879	1344	183
880	1345	181
881	1346	180
882	1348	178
883	1349	177
884	1350	175
885	1350	173
886	1351	172
887	1352	170
888	1356	169
889	1357	167
890	1360	166
891	1363	165
892	1365	163
893	1366	162
894	1369	160
895	1370	159
896	1371	157
897	1372	155
898	1375	154
899	1376	152
900	1377	151
901	1378	149
902	1379	148
903	1380	146
904	1381	145
905	1383	143
906	1384	141
907	1385	140
908	1386	138
909	1388	137
910	1389	135
911	1390	134
912	1393	132
913	1395	131
914	1397	129
915	1399	128
916	1400	126
917	1403	125
918	1404	123
919	1405	122
920	1407	120
921	1409	119
922	1411	117
923	1412	116
924	1414	114
925	1416	113
926	1417	111
927	1419	110
928	1420	108
929	1421	107
930	1424	105
931	1426	104
932	1427	102
933	1433	101
934	1436	99
935	1437	98
936	1440	96
937	1441	95
938	1443	93
939	1445	92
940	1446	90
941	1447	89
942	1460	88
943	1461	86
944	1463	85
945	1464	83
946	1474	82
947	1479	81
948	1481	79
949	1482	78
950	1483	76
951	1485	74
952	1486	73
953	1487	71
954	1502	70
955	1503	69
956	1504	67
957	1506	66
958	1508	64
959	1509	62
960	1514	61
961	1516	59
962	1517	58
963	1518	56
964	1519	55
965	1521	53
966	1522	51
967	1522	50
968	1524	48
969	1527	47
970	1531	45
971	1534	44
972	1535	42
973	1536	41
974	1537	39
975	1539	37
976	1540	36
977	1542	34
978	1543	33
979	1544	31
980	1548	29
981	1550	28
982	1551	26
983	1552	25
984	1553	23
985	1554	22
986	1556	20
987	1557	18
988	1560	17
989	1561	15
990	1561	14
991	1562	12
992	1570	11
993	1572	9
994	1573	7
995	1574	6
996	1575	4
997	1576	3
998	1577	1
999	1578	0
